"id" ,"cliente"                     ,"valor_pago" ,"produto"             ,"data_pagamento" ,"status_entrega"
  60 ,"Esther Novaes"               ,     4207.8  ,"Utensílio Doméstico" ,"2024-12-29"     ,"Em Devolução"
  61 ,"Antonella Silveira"          ,     3518.72 ,"Brinquedo"           ,"2019-10-13"     ,"Entregue"
  62 ,"Murilo Rocha"                ,     3964.38 ,"Brinquedo"           ,"2021-07-03"     ,"Em Devolução"
  63 ,"Heitor Albuquerque"          ,     1777.33 ,"Ferramenta"          ,"2023-04-21"     ,"Entregue"
  64 ,"Vinícius Pimenta"            ,     3024.28 ,"Ferramenta"          ,"2019-08-03"     ,"Em Devolução"
  66 ,"Carlos Eduardo Melo"         ,     4510.48 ,"Utensílio Doméstico" ,"2024-02-14"     ,"Cancelado"
  67 ,"Anna Liz Almeida"            ,     3279.77 ,"Ferramenta"          ,"2020-08-24"     ,"Cancelado"
  69 ,"Manuella Camargo"            ,     2343.98 ,"Brinquedo"           ,"2024-03-25"     ,"Cancelado"
  70 ,"Antony Aparecida"            ,     3721.18 ,"Utensílio Doméstico" ,"2019-03-31"     ,"Cancelado"
  72 ,"Sr. Thales Silva"            ,     3089.66 ,"Utensílio Doméstico" ,"2022-11-12"     ,"Cancelado"
  73 ,"Maya Freitas"                ,     2992.36 ,"Utensílio Doméstico" ,"2024-03-24"     ,"Devolvido"
  75 ,"Davi Miguel Cassiano"        ,     3767.58 ,"Utensílio Doméstico" ,"2020-08-17"     ,"Entregue"
  78 ,"Lavínia Fonseca"             ,     1955.38 ,"Utensílio Doméstico" ,"2021-05-14"     ,"Devolvido"
  79 ,"Caroline da Rocha"           ,     4385.23 ,"Brinquedo"           ,"2019-09-09"     ,"Extraviado"
  80 ,"Srta. Ana Julia das Neves"   ,     4371.27 ,"Utensílio Doméstico" ,"2020-01-29"     ,"Extraviado"
  81 ,"Ana Sophia da Rosa"          ,     3883.71 ,"Utensílio Doméstico" ,"2021-06-02"     ,"Entregue"
  83 ,"Olívia Fernandes"            ,     3537.43 ,"Ferramenta"          ,"2024-01-17"     ,"Devolvido"
  84 ,"Sr. Rhavi Camargo"           ,     4436.23 ,"Utensílio Doméstico" ,"2023-03-13"     ,"Devolvido"
  85 ,"Ana Carolina da Rosa"        ,     3801.88 ,"Brinquedo"           ,"2021-01-04"     ,"Extraviado"
  86 ,"Daniela Cavalcante"          ,     1697.13 ,"Ferramenta"          ,"2022-10-05"     ,"Entregue"
  87 ,"Aurora Azevedo"              ,     4064.32 ,"Ferramenta"          ,"2023-11-05"     ,"Em Devolução"
  88 ,"Henry Araújo"                ,     2787.95 ,"Utensílio Doméstico" ,"2021-04-23"     ,"Entregue"
  89 ,"Matteo Novais"               ,     4203.5  ,"Brinquedo"           ,"2022-02-11"     ,"Entregue"
  90 ,"Rebeca Viana"                ,     2068.9  ,"Utensílio Doméstico" ,"2022-07-05"     ,"Extraviado"
  91 ,"Helena Lima"                 ,     1649.27 ,"Brinquedo"           ,"2019-07-03"     ,"Entregue"
  92 ,"José Pedro Pacheco"          ,     3614.89 ,"Brinquedo"           ,"2023-08-30"     ,"Devolvido"
  93 ,"Evelyn Fogaça"               ,     3099.1  ,"Brinquedo"           ,"2019-09-09"     ,"Entregue"
  94 ,"Srta. Valentina Machado"     ,     3080.96 ,"Brinquedo"           ,"2023-07-07"     ,"Cancelado"
  95 ,"Dante Monteiro"              ,     1471.92 ,"Brinquedo"           ,"2021-05-21"     ,"Entregue"
  96 ,"Asafe Cunha"                 ,     2430.47 ,"Ferramenta"          ,"2022-09-27"     ,"Entregue"
  98 ,"Clarice Caldeira"            ,     4320.66 ,"Brinquedo"           ,"2024-12-06"     ,"Devolvido"
  99 ,"Clara Nunes"                 ,     4104.64 ,"Utensílio Doméstico" ,"2021-06-08"     ,"Cancelado"
 101 ,"Dr. Theo Porto"              ,     4271.07 ,"Brinquedo"           ,"2023-01-08"     ,"Entregue"
 102 ,"Vitor Hugo Pimenta"          ,     1108.11 ,"Ferramenta"          ,"2024-08-02"     ,"Devolvido"
 103 ,"Luigi Santos"                ,     1642.09 ,"Ferramenta"          ,"2024-10-09"     ,"Devolvido"
 104 ,"Dr. Arthur Miguel Moura"     ,     4558.27 ,"Brinquedo"           ,"2019-11-22"     ,"Devolvido"
 105 ,"Eduardo Garcia"              ,     3311.27 ,"Utensílio Doméstico" ,"2022-07-01"     ,"Extraviado"
 106 ,"Dra. Olivia Azevedo"         ,     3236.69 ,"Ferramenta"          ,"2023-10-19"     ,"Devolvido"
 108 ,"Kaique Albuquerque"          ,     1526.07 ,"Brinquedo"           ,"2023-07-21"     ,"Em Devolução"
 109 ,"Luísa Castro"                ,     1429.73 ,"Ferramenta"          ,"2023-10-21"     ,"Cancelado"
 110 ,"Natália Freitas"             ,     3620.65 ,"Ferramenta"          ,"2022-01-11"     ,"Devolvido"
 113 ,"Paulo Sá"                    ,     1868.44 ,"Utensílio Doméstico" ,"2020-03-27"     ,"Em Devolução"
 114 ,"Maria Vitória Mendes"        ,     1537.69 ,"Ferramenta"          ,"2024-01-27"     ,"Em Devolução"
 115 ,"Isabel Almeida"              ,     4675.39 ,"Ferramenta"          ,"2022-12-10"     ,"Em Devolução"
 116 ,"Fernando da Rosa"            ,     4299.48 ,"Utensílio Doméstico" ,"2022-01-15"     ,"Entregue"
 117 ,"Lucas Gabriel Azevedo"       ,     1583.09 ,"Ferramenta"          ,"2021-12-17"     ,"Cancelado"
 118 ,"Kevin Vargas"                ,     2132.14 ,"Brinquedo"           ,"2021-06-13"     ,"Devolvido"
 119 ,"Ana Liz Castro"              ,     4552.42 ,"Ferramenta"          ,"2022-11-05"     ,"Cancelado"
 120 ,"Isaque da Paz"               ,     4220.16 ,"Ferramenta"          ,"2023-05-18"     ,"Entregue"
 121 ,"Sr. Arthur Miguel Mendes"    ,     2447.52 ,"Utensílio Doméstico" ,"2021-07-04"     ,"Extraviado"
 122 ,"Anna Liz Rocha"              ,     2190.02 ,"Ferramenta"          ,"2023-03-11"     ,"Cancelado"
 123 ,"Dr. Arthur Miguel Pimenta"   ,     3700.28 ,"Brinquedo"           ,"2021-10-18"     ,"Em Devolução"
 124 ,"Ana Julia Brito"             ,     3171.04 ,"Ferramenta"          ,"2021-10-28"     ,"Entregue"
 126 ,"Lorenzo Caldeira"            ,     3774.36 ,"Brinquedo"           ,"2023-03-14"     ,"Extraviado"
 128 ,"Brenda Araújo"               ,     2643.12 ,"Ferramenta"          ,"2022-08-29"     ,"Extraviado"
 129 ,"Maitê Rezende"               ,     3962.61 ,"Utensílio Doméstico" ,"2019-09-30"     ,"Em Devolução"
 130 ,"Laís Viana"                  ,     2172.89 ,"Ferramenta"          ,"2024-02-04"     ,"Em Devolução"
 131 ,"Laís Souza"                  ,     4943.45 ,"Ferramenta"          ,"2024-03-26"     ,"Devolvido"
 132 ,"Camila Moreira"              ,     3907.79 ,"Ferramenta"          ,"2024-02-29"     ,"Em Devolução"
 133 ,"Arthur Miguel Viana"         ,     1856.75 ,"Brinquedo"           ,"2021-05-08"     ,"Entregue"
 134 ,"Sr. Rafael Fogaça"           ,     4524.75 ,"Ferramenta"          ,"2023-09-26"     ,"Em Devolução"
 136 ,"Vicente Rios"                ,     1115.44 ,"Brinquedo"           ,"2022-06-01"     ,"Em Devolução"
 137 ,"Ian Borges"                  ,     3154.73 ,"Brinquedo"           ,"2023-08-28"     ,"Em Devolução"
 138 ,"Sarah Sampaio"               ,     2346.2  ,"Ferramenta"          ,"2022-02-21"     ,"Devolvido"
 139 ,"Lorena Camargo"              ,     4152.23 ,"Brinquedo"           ,"2019-11-16"     ,"Devolvido"
 140 ,"Mariana Barros"              ,     4916.65 ,"Brinquedo"           ,"2024-08-12"     ,"Devolvido"
 141 ,"Ana Luiza Brito"             ,     2088.94 ,"Utensílio Doméstico" ,"2021-06-28"     ,"Extraviado"
 142 ,"Arthur Vieira"               ,     4400.52 ,"Ferramenta"          ,"2021-09-05"     ,"Cancelado"
 143 ,"Maria Vitória Alves"         ,     4184.31 ,"Ferramenta"          ,"2021-12-24"     ,"Em Devolução"
 144 ,"Dr. Bruno Fogaça"            ,     2759.76 ,"Brinquedo"           ,"2019-06-04"     ,"Entregue"
 145 ,"Sr. Luiz Felipe Ferreira"    ,     1767.08 ,"Utensílio Doméstico" ,"2020-01-25"     ,"Cancelado"
 146 ,"Luiz Otávio Barbosa"         ,     4108.78 ,"Brinquedo"           ,"2022-07-31"     ,"Devolvido"
 148 ,"Camila Souza"                ,     3942.42 ,"Ferramenta"          ,"2019-01-16"     ,"Devolvido"
 149 ,"Sr. Igor Casa Grande"        ,     1542.47 ,"Utensílio Doméstico" ,"2020-02-14"     ,"Extraviado"
 151 ,"Davi Lucca Alves"            ,     4357.59 ,"Brinquedo"           ,"2024-10-18"     ,"Entregue"
 152 ,"Dr. Renan da Rocha"          ,     1202.94 ,"Brinquedo"           ,"2020-10-11"     ,"Cancelado"
 154 ,"Cauã Nascimento"             ,     4323.33 ,"Brinquedo"           ,"2022-06-26"     ,"Extraviado"
 155 ,"Marcos Vinicius Casa Grande" ,     4846.13 ,"Utensílio Doméstico" ,"2024-09-02"     ,"Extraviado"
 156 ,"Levi Moraes"                 ,     4515.34 ,"Utensílio Doméstico" ,"2020-06-16"     ,"Entregue"
 157 ,"João Vitor Freitas"          ,     2911.98 ,"Utensílio Doméstico" ,"2021-07-08"     ,"Devolvido"
 158 ,"Davi Lucca Peixoto"          ,     3813.45 ,"Brinquedo"           ,"2019-02-15"     ,"Extraviado"
 159 ,"Brayan Cardoso"              ,     4538.33 ,"Brinquedo"           ,"2021-07-09"     ,"Cancelado"
 160 ,"Maria Vitória Sousa"         ,     2723.54 ,"Utensílio Doméstico" ,"2024-07-22"     ,"Extraviado"
 161 ,"Mariana da Rosa"             ,     4145.91 ,"Ferramenta"          ,"2022-10-27"     ,"Extraviado"
 162 ,"Josué Macedo"                ,     3076.41 ,"Brinquedo"           ,"2022-10-18"     ,"Entregue"
 163 ,"Vitória Araújo"              ,     3319.22 ,"Brinquedo"           ,"2021-04-04"     ,"Em Devolução"
 164 ,"Oliver Siqueira"             ,     1581.97 ,"Utensílio Doméstico" ,"2024-05-28"     ,"Cancelado"
 165 ,"Gabrielly Freitas"           ,     1730.16 ,"Ferramenta"          ,"2020-10-04"     ,"Cancelado"
 166 ,"Ayla Cirino"                 ,     4720.44 ,"Ferramenta"          ,"2023-10-12"     ,"Extraviado"
 167 ,"Daniel Novais"               ,     1982.38 ,"Ferramenta"          ,"2022-08-19"     ,"Entregue"
 169 ,"Marina Cavalcanti"           ,     1506.73 ,"Ferramenta"          ,"2020-06-27"     ,"Entregue"
 170 ,"Manuela Moreira"             ,     4715.12 ,"Ferramenta"          ,"2019-11-09"     ,"Extraviado"
 172 ,"Alexandre Sampaio"           ,     3400.36 ,"Brinquedo"           ,"2021-09-10"     ,"Cancelado"
 173 ,"Alana Cunha"                 ,     2114.59 ,"Utensílio Doméstico" ,"2020-10-16"     ,"Extraviado"
 174 ,"Liz Nogueira"                ,     1994.75 ,"Brinquedo"           ,"2022-08-27"     ,"Entregue"
 175 ,"Olivia Borges"               ,     2407.36 ,"Brinquedo"           ,"2023-01-25"     ,"Entregue"
 177 ,"Alícia Campos"               ,     3186.83 ,"Brinquedo"           ,"2020-08-14"     ,"Devolvido"
 178 ,"Ana Cecília Abreu"           ,     3280.06 ,"Brinquedo"           ,"2020-07-16"     ,"Extraviado"
 179 ,"Maria Laura Macedo"          ,     3938.74 ,"Ferramenta"          ,"2019-08-12"     ,"Entregue"
 180 ,"Luiz Gustavo da Paz"         ,     4418.26 ,"Utensílio Doméstico" ,"2024-03-24"     ,"Extraviado"
 181 ,"Fernanda Peixoto"            ,     3110.22 ,"Ferramenta"          ,"2019-07-06"     ,"Entregue"
 182 ,"João das Neves"              ,     4850.48 ,"Utensílio Doméstico" ,"2022-03-15"     ,"Devolvido"
 183 ,"Vinícius da Cruz"            ,     1552.29 ,"Brinquedo"           ,"2024-05-05"     ,"Extraviado"
 184 ,"Bernardo Leão"               ,     4016.77 ,"Utensílio Doméstico" ,"2024-03-01"     ,"Entregue"
 185 ,"Vicente Carvalho"            ,     2643.14 ,"Brinquedo"           ,"2022-06-11"     ,"Entregue"
 186 ,"Giovanna Nascimento"         ,     3932.36 ,"Ferramenta"          ,"2019-08-19"     ,"Cancelado"
 187 ,"Ísis Guerra"                 ,     3807.42 ,"Ferramenta"          ,"2023-06-13"     ,"Cancelado"
 188 ,"João Vitor Macedo"           ,     3968.84 ,"Brinquedo"           ,"2021-03-25"     ,"Entregue"
 189 ,"Cecilia Castro"              ,     4519.44 ,"Brinquedo"           ,"2019-09-28"     ,"Extraviado"
 190 ,"Mateus Guerra"               ,     1351.39 ,"Brinquedo"           ,"2022-07-19"     ,"Devolvido"
 191 ,"Kaique Fogaça"               ,     3365.9  ,"Utensílio Doméstico" ,"2022-10-16"     ,"Em Devolução"
 192 ,"Sra. Helena Mendes"          ,     1225.31 ,"Utensílio Doméstico" ,"2021-12-07"     ,"Devolvido"
 193 ,"Luiza Monteiro"              ,     3522.66 ,"Ferramenta"          ,"2022-11-29"     ,"Devolvido"
 194 ,"Pedro Miguel da Rosa"        ,     1596.03 ,"Brinquedo"           ,"2019-11-09"     ,"Em Devolução"
 195 ,"Ana Júlia Pinto"             ,     2187.25 ,"Utensílio Doméstico" ,"2020-04-17"     ,"Extraviado"
 196 ,"Dr. Matteo Albuquerque"      ,     4622.11 ,"Brinquedo"           ,"2024-01-29"     ,"Extraviado"
 198 ,"Maria Laura Abreu"           ,     3697.97 ,"Brinquedo"           ,"2021-03-02"     ,"Extraviado"
 199 ,"Alexandre da Mata"           ,     2212.32 ,"Ferramenta"          ,"2024-03-28"     ,"Entregue"
 200 ,"Sra. Heloísa Casa Grande"    ,     2533.46 ,"Ferramenta"          ,"2023-07-05"     ,"Cancelado"
 202 ,"Sra. Maria Isis Cavalcante"  ,     1860.34 ,"Brinquedo"           ,"2020-12-25"     ,"Cancelado"
 203 ,"Maya Casa Grande"            ,     1804.6  ,"Brinquedo"           ,"2021-09-07"     ,"Em Devolução"
 204 ,"Srta. Valentina Dias"        ,     4113.13 ,"Brinquedo"           ,"2019-10-11"     ,"Devolvido"
 205 ,"Pedro Miguel Ferreira"       ,     4477.83 ,"Brinquedo"           ,"2023-09-26"     ,"Entregue"
 206 ,"Mariane Mendonça"            ,     1103.47 ,"Utensílio Doméstico" ,"2021-05-03"     ,"Entregue"
 207 ,"Gael Henrique Macedo"        ,     3765.09 ,"Ferramenta"          ,"2024-08-21"     ,"Cancelado"
 208 ,"Ana Julia Gomes"             ,     3478.39 ,"Utensílio Doméstico" ,"2019-03-14"     ,"Em Devolução"
 209 ,"Antonella Cirino"            ,     4309.96 ,"Brinquedo"           ,"2021-03-07"     ,"Extraviado"
 212 ,"Luiz Gustavo Jesus"          ,     1741.56 ,"Ferramenta"          ,"2021-10-01"     ,"Cancelado"
 213 ,"Stella Rios"                 ,     4691.92 ,"Utensílio Doméstico" ,"2024-09-26"     ,"Cancelado"
 214 ,"Marina Pacheco"              ,     1001.82 ,"Brinquedo"           ,"2021-09-23"     ,"Entregue"
 215 ,"Renan Cunha"                 ,     2712.82 ,"Ferramenta"          ,"2021-01-08"     ,"Em Devolução"
 216 ,"Augusto Aragão"              ,     1945.29 ,"Brinquedo"           ,"2019-12-23"     ,"Em Devolução"
 217 ,"João Vitor Rezende"          ,     4041.51 ,"Ferramenta"          ,"2019-01-16"     ,"Devolvido"
 218 ,"Paulo Rodrigues"             ,     1289.91 ,"Brinquedo"           ,"2020-05-01"     ,"Cancelado"
 219 ,"Maria Laura Novais"          ,     1925.06 ,"Utensílio Doméstico" ,"2024-07-11"     ,"Entregue"
 220 ,"Evelyn Fernandes"            ,     4318.78 ,"Utensílio Doméstico" ,"2022-08-25"     ,"Entregue"
 221 ,"Antonella Vieira"            ,     2029.63 ,"Utensílio Doméstico" ,"2020-11-29"     ,"Entregue"
 223 ,"Ana Clara Correia"           ,     2142.07 ,"Brinquedo"           ,"2021-03-18"     ,"Devolvido"
 224 ,"Vinicius Ferreira"           ,     2168.72 ,"Utensílio Doméstico" ,"2020-02-16"     ,"Cancelado"
 226 ,"Leonardo Moreira"            ,     3221.52 ,"Utensílio Doméstico" ,"2024-02-28"     ,"Entregue"
 227 ,"Rodrigo Ferreira"            ,     1944.52 ,"Brinquedo"           ,"2024-03-25"     ,"Extraviado"
 228 ,"Augusto das Neves"           ,     4813.59 ,"Ferramenta"          ,"2024-08-08"     ,"Extraviado"
 229 ,"Anthony Marques"             ,     1099.55 ,"Ferramenta"          ,"2021-12-21"     ,"Extraviado"
 231 ,"Maysa Campos"                ,     1457.15 ,"Utensílio Doméstico" ,"2019-07-07"     ,"Devolvido"
 232 ,"Carlos Eduardo Teixeira"     ,     3472.18 ,"Utensílio Doméstico" ,"2019-12-03"     ,"Extraviado"
 233 ,"Pedro Lucas Pimenta"         ,     4648.51 ,"Brinquedo"           ,"2019-06-19"     ,"Extraviado"
 234 ,"Maria Júlia Aparecida"       ,     2215.41 ,"Brinquedo"           ,"2024-10-01"     ,"Extraviado"
 235 ,"Samuel Câmara"               ,     1767.9  ,"Utensílio Doméstico" ,"2019-10-08"     ,"Em Devolução"
 236 ,"Luiz Gustavo Dias"           ,     1841.3  ,"Utensílio Doméstico" ,"2024-12-19"     ,"Entregue"
 237 ,"João Pedro Pimenta"          ,     2468.11 ,"Brinquedo"           ,"2022-03-31"     ,"Cancelado"
 239 ,"Nicole Nascimento"           ,     3131.8  ,"Brinquedo"           ,"2022-10-21"     ,"Em Devolução"
 240 ,"Igor Almeida"                ,     1562.94 ,"Utensílio Doméstico" ,"2019-09-18"     ,"Cancelado"
 241 ,"Srta. Emanuella Siqueira"    ,     2771.52 ,"Brinquedo"           ,"2021-06-27"     ,"Extraviado"
 242 ,"João Miguel Sousa"           ,     3560.84 ,"Ferramenta"          ,"2024-12-24"     ,"Entregue"
 243 ,"Vitor Gabriel Moraes"        ,     3423.08 ,"Brinquedo"           ,"2021-07-27"     ,"Devolvido"
 244 ,"Davi Gomes"                  ,     3833.78 ,"Ferramenta"          ,"2022-11-14"     ,"Entregue"
 247 ,"Benício Moreira"             ,     4463.75 ,"Utensílio Doméstico" ,"2020-11-04"     ,"Extraviado"
 248 ,"Sr. Marcelo Pires"           ,     2278.46 ,"Utensílio Doméstico" ,"2021-11-18"     ,"Cancelado"
 249 ,"Eloá Carvalho"               ,     1833.73 ,"Utensílio Doméstico" ,"2023-11-10"     ,"Em Devolução"
 250 ,"Sofia Duarte"                ,     3017.51 ,"Brinquedo"           ,"2021-03-15"     ,"Entregue"
 251 ,"Amanda Cardoso"              ,     3981.96 ,"Ferramenta"          ,"2024-04-05"     ,"Devolvido"
 252 ,"Felipe Moraes"               ,     1765.46 ,"Utensílio Doméstico" ,"2024-12-11"     ,"Em Devolução"
 253 ,"Gustavo Viana"               ,     4464.42 ,"Brinquedo"           ,"2024-06-28"     ,"Entregue"
 254 ,"Hadassa da Costa"            ,     2132.67 ,"Ferramenta"          ,"2023-05-25"     ,"Cancelado"
 255 ,"Matheus Fogaça"              ,     2647.19 ,"Utensílio Doméstico" ,"2022-08-26"     ,"Devolvido"
 256 ,"Theo Caldeira"               ,     3172.98 ,"Utensílio Doméstico" ,"2022-09-11"     ,"Entregue"
 257 ,"Vinicius Peixoto"            ,     2112.94 ,"Utensílio Doméstico" ,"2021-02-24"     ,"Devolvido"
 258 ,"Luana Albuquerque"           ,     2076.72 ,"Ferramenta"          ,"2024-10-01"     ,"Cancelado"
 259 ,"Elisa Ribeiro"               ,     2267.59 ,"Utensílio Doméstico" ,"2024-04-10"     ,"Em Devolução"
 261 ,"José Pedro Carvalho"         ,     1969    ,"Utensílio Doméstico" ,"2022-08-17"     ,"Extraviado"
 263 ,"Gustavo Henrique Andrade"    ,     1834.88 ,"Ferramenta"          ,"2020-11-21"     ,"Extraviado"
 264 ,"Srta. Manuela Macedo"        ,     1168.25 ,"Ferramenta"          ,"2023-01-04"     ,"Devolvido"
 265 ,"Heloisa da Luz"              ,     1659.38 ,"Utensílio Doméstico" ,"2021-01-24"     ,"Entregue"
 266 ,"Leandro Almeida"             ,     2275.51 ,"Brinquedo"           ,"2021-02-19"     ,"Extraviado"
 269 ,"Augusto Albuquerque"         ,     4453.87 ,"Brinquedo"           ,"2020-05-09"     ,"Devolvido"
 270 ,"Lunna Azevedo"               ,     4896.64 ,"Utensílio Doméstico" ,"2023-12-04"     ,"Entregue"
 271 ,"Dr. Davi Luiz Cunha"         ,     3462.85 ,"Utensílio Doméstico" ,"2021-09-10"     ,"Extraviado"
 273 ,"Dr. Mateus Albuquerque"      ,     3142.3  ,"Ferramenta"          ,"2021-06-15"     ,"Cancelado"
 274 ,"Vitor Nascimento"            ,     3662.79 ,"Brinquedo"           ,"2023-10-29"     ,"Em Devolução"
 275 ,"Nicole Teixeira"             ,     3782.91 ,"Ferramenta"          ,"2019-04-02"     ,"Em Devolução"
 277 ,"Cecilia Pinto"               ,     1982.24 ,"Ferramenta"          ,"2024-03-18"     ,"Extraviado"
 278 ,"Clara Barros"                ,     3275.22 ,"Utensílio Doméstico" ,"2020-12-24"     ,"Extraviado"
 280 ,"Enzo Gabriel Silva"          ,     2668.39 ,"Brinquedo"           ,"2019-06-21"     ,"Em Devolução"
 281 ,"Bella Pinto"                 ,     4560.92 ,"Ferramenta"          ,"2022-10-09"     ,"Cancelado"
 282 ,"Srta. Ana Cecília da Cunha"  ,     3967.75 ,"Ferramenta"          ,"2021-01-15"     ,"Extraviado"
